,NSC,SMILES
231258,666170,C1=CC=C(C=C1)C2=N/C(=C/C3=CC=C(C=C3)Cl)/C(=O)NN2C4=NNC5(C6=CC=CC=C6C7=CC=CC=C75)C(=O)N4
231259,666171,C1=CC=C(C=C1)C2=N/C(=C/C3=CC=C(C=C3)O)/C(=O)NN2C4=NNC5(C6=CC=CC=C6C7=CC=CC=C75)C(=O)N4
231260,666172,COC1=C(C=CC(=C1)/C=C/2\C(=O)NN(C(=N2)C3=CC=CC=C3)C4=NNC5(C6=CC=CC=C6C7=CC=CC=C75)C(=O)N4)O
231694,666739,C[C@@H](C(CCCCCC/C=C\C/C=C\C/C=C\C/C=C\C=C\C(C/C=C\CC([C@H](C)N)O)O)O)N
231695,666740,C[C@@H](C(CCCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC([C@H](C)N)O)O)N
232181,668002,CC(C)C(C(=O)NCC(=O)OCC1=CC=CC=C1)NC(=O)OC(C)(C)C
232182,668003,CC(C)C(C(=O)OCC1=CC=CC=C1)NC(=O)CNC(=O)OC(C)(C)C
232183,668004,CC(C)C(C(=O)NC(C)C(=O)N1CCCC1C(=O)O)NC(=O)OC(C)(C)C
232184,668005,CC(C)C(C(=O)N1CCCC1C(=O)O)NC(=O)C
232185,668006,CC(C)C(C(=O)N1CCCC1C(=O)O)NC(=O)OC(C)(C)C
232186,668007,CC(C)C(C(=O)NC(C)C(=O)N1CCCC1C(=O)O)NC(=O)C
232187,668008,CC(C)C(C(=O)N1CCCC1C(=O)OCC2=CC=CC=C2)NC(=O)C
232188,668009,CC(C)C(C(=O)N1CCCC1C(=O)OCC2=CC=CC=C2)NC(=O)OC(C)(C)C
232194,668015,CC(C)C(C(=O)NCC(=O)OCC1=CC=CC=C1)NC(=O)CNC(=O)OC(C)(C)C
232195,668016,CCCOC(C)OCCC#CCC(C)OC(=O)CC(Cl)(Cl)Cl
232196,668017,CC(CCC#CC(=O)O)OC1CCCCO1
232197,668018,CCOC(=O)CNC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(=O)O)N
232198,668019,CC(C)(C)OC(=O)CC(C(=O)C(CC1=CC=CC=C1)C(=O)OC)NC(=O)OC(C)(C)C
232199,668020,CC(C)(C)OC(=O)CC(NC(=O)OCC1=CC=CC=C1)NC(=O)OC(C)(C)C
233385,670348,CC(C)CC(C(=O)NC(CCC(=O)OC1CCCCC1)C(=O)N)NC(=O)OC(C)(C)C
233386,670349,CC(C)CC(C(=O)NC(CCC(=O)OCC1=CC=CC=C1)C(=O)N)NC(=O)OC(C)(C)C
233388,670351,CC(C)(C)OC(=O)NC(CC=C)C(=O)NC(CCC(=O)OCC1=CC=C(C=C1)[N+](=O)[O-])C(=O)N
233389,670352,CC(C)CC(C(=O)NC(CCCOC)C(=O)N)NC(=O)OCC1=CC=C(C=C1)OC
233390,670353,CC(C)CC(C(=O)NC(CCCOC)C(=O)OC)NC(=O)OCC1=CC=C(C=C1)OC
233391,670354,CC(C)CC(C(=O)NC(CCOC)C(=O)OC)NC(=O)OC(C)(C)C
233392,670355,CC(C)CC(C(=O)NC(CCOCC1=CC=CC=C1)C(=O)N)NC(=O)OC(C)(C)C
233393,670356,CC(C(=O)OC)NC(=O)C(CCSC)NC(=O)C(CC1=CC=CC=C1)NC(=O)OC(C)(C)C
233396,670359,CC(C)(C)OC(=O)NC(CC1=CC=CC=C1)C(=O)NC(CC2=CC=CC=C2)C(=O)NCC(=O)OC
233399,670362,C1CCC(CC1)SC2=NC(=C3C(=N2)N(C=N3)C4C(C(C(O4)CO)O)O)N
233400,670363,CC(C)C1C2C(CN1CC=C)CON2C(=O)C(C3=CC=CC=C3)(C(F)(F)F)OC
233404,670389,CC(C(=O)NCP(=O)(O)O)NC(=O)C(CCC(=O)O)N
233405,670390,CCCCCC[N+]1=NOC(=C1C2=CC=C(C=C2)C3=C(ON=[N+]3CCCCCC)N)N.[Cl-]
233406,670391,C1CC([C@H]2[C@@H](C1O)[C@H]3C4=CC=CC=C4[C@@H]2S3)O
233407,670392,CC(=O)OC1C=CC(C2C1[C@H]3C4C=CC=CC4[C@@H]2S3=O)OC(=O)C
233408,670393,CC(=O)OC1CCC([C@H]2[C@@H]1[C@H]3C4=CC=CC=C4[C@@H]2S3)OC(=O)C
233409,670395,C1CCN(C1)C2=NC3=NC=NC(=C3C=C2C#N)N
234749,673171,C(CO)N(CN(CN(CCO)CO)C1=NC(=NC(=N1)N(CN(CCO)CO)CN(CCO)CO)N(CN(CCO)CO)CN(CCO)CO)CO
234750,673172,C1N(CN(CN1CCO)C2=NC(=NC(=N2)N3CN(CN(C3)CCO)CCO)N4CN(CN(C4)CCO)CCO)CCO
235140,674127,CC1=C(C(=C2C(=N1)N=C(N(C2=O)CCN3CCOCC3)C)C4=CC(=CC=C4)[N+](=O)[O-])C(=O)CCCCCCCCCCN5CCC(CC5)(C6=CC=CC=C6)C7=CC=CC=C7.Cl
237098,678038,C(=C(Cl)Cl)(/C(=C(\Cl)/Br)/Cl)[N+](=O)[O-]
237279,678407,C1CC(N(C1)C(=O)C2=CC=CC=N2)C(=O)O
237280,678408,CN(C)C1=CC(=NC=C1)C(=O)N2CCCC2C(=O)O
237281,678409,COC1=CC(=NC=C1)C(=O)N2CCCC2C(=O)O
237282,678410,C1=CC2=C(C=CN=C2N)C(=C1)[N+](=O)[O-]
237283,678411,CS(=O)(=O)CC(CC1=CC=CC=C1)C(=O)O
237284,678412,CC1=CC(=C(C(=C1)C)C2CNCC3=CC4=C(CNCC4C5=C(C=C(C=C5C)C)C)C=C23)C.C1=CC=C(C=C1)C(C(=O)O)O
239182,683132,C1=CC(=C(C=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4=C(C=CC(=C4O)O)C5=CC(=O)C6=C(O5)C(=C(C=C6O)O)C7=C(C=CC(=C7O)O)C8=CC(=O)C9=C(C=C(C=C9O8)O)O)O)O
239183,683133,C1=CC(=C(C=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)C4=C(C=CC(=C4O)O)C5=CC(=O)C6=C(C=C(C=C6O5)O)O)O)O)O
239184,683134,C1=CC(=C(C=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4=C(C=CC(=C4O)O)C5=CC(=O)C6=C(C=C(C=C6O5)O)O)O)O
239185,683135,C1=CC(=C(C=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4=C(C(=CC(=C4)C5=CC(=O)C6=C(C=C(C=C6O5)O)O)O)O)O)O
240201,685354,COC1=C(C=C(C=C1)C=C2C(=O)NC(=O)NC2=O)OCC3=CC=CC=C3
240202,685355,COC1=C(C=CC(=C1)C=C2C(=O)NC(=O)NC2=O)OCC3=CC=CC=C3
240203,685356,COC1=CC=CC(=C1)CC2C(=O)NC(=O)NC2=O
240204,685357,C1=CC=C(C=C1)COC2=CC=CC(=C2)CC3C(=O)NC(=O)NC3=O
240205,685358,C1=CC(=CC(=C1)Cl)CC2C(=O)NC(=O)NC2=O
240206,685359,COC1=C(C=C(C=C1)CC2C(=O)NC(=O)NC2=O)OCC3=CC=CC=C3
240207,685360,COC1=C(C=CC(=C1)CC2C(=O)NC(=O)NC2=O)OCC3=CC=CC=C3
240208,685361,COC1=C(C=C(C=C1)CC2C(=O)NC(=O)NC2=O)OC
240209,685362,CC(=O)OCCOCN1C(=O)CC(=O)NC1=O
240210,685363,CC(=O)OCCOCN1C(=O)/C(=C\C2=CC(=CC=C2)OCC3=CC=CC=C3)/C(=O)NC1=O
240477,685920,COC1=C(C=CC(=C1)N(CCC#N)CCC#N)/C(=N/NC(=O)C2=C(C=CC(=C2)Br)O)/N=NC3=CC=C(C=C3)Cl
240478,685921,COC1=CC=CC(=C1)N=N/C(=N\NC(=O)C2=C(C=CC(=C2)Br)O)/C3=C(C=C(C=C3)N(CCC#N)CCC#N)OC
240479,685922,COC1=CC=C(C=C1)N=N/C(=N\NC(=O)C2=C(C=CC(=C2)Br)O)/C3=C(C=C(C=C3)N(CCC#N)CCC#N)OC
240480,685923,COC1=C(C=CC(=C1)N(CCC#N)CCC#N)/C(=N/NC(=O)C2=C(C=CC(=C2)Br)O)/N=NC3=CC=C(C=C3)[N+](=O)[O-]
240481,685924,COC1=C(C=CC(=C1)N(CCC#N)CCC#N)/C(=N/NC(=O)C2=C(C=CC(=C2)Br)O)/N=NC3=CC=C(C=C3)C(=O)O
240934,687011,C/C/1=C/CC[C@@]2([C@@H](O2)[C@@H]3[C@@H](CC1=O)C(=C)C(=O)O3)C
