,NSC,CID,SMILES,MECHANISM
160,5192,16317,C1=CC=C2C(=C1)C=CC3=C2C(=O)C(=O)C4=CC=CC=C34,Other
161,5200,135403411,C1=CC=C(C=C1)N=NC2=C(N=C(NC2=O)N)N,Other
162,5206,24181145,CCCCCCCCCCCC1N=C(N=C(N1C2=CC(=CC=C2)Br)N)N.Cl,Other
163,5278,17584,C1=C(C(=C(C(=C1Cl)Cl)[N+](=O)[O-])Cl)[N+](=O)[O-],Other
164,5283,13820,CC[Sn](CC)(CC)Cl,Other
165,5332,6825,C1=CC=C2C(=C1)C=CC(=C2N=NC3=CC=CC=N3)O,Other
166,5337,79411,CCCCCCCCCCCC[N+]1=CC=CC=C1.C1=CC2=C(C=C1Cl)N=C(S2)[S-],Other
167,5347,8660,C1=CC=C(C(=C1)C(=O)O)SCC(=O)O,Other
168,5355,5351462,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC.[O-]S(=O)(=O)[O-],Other
169,5364,2757,C=CC1CN2CCC1CC2C(C3=CC=NC4=CC=CC=C34)O,Other
170,5366,275196,CN1CCC2=CC3=C(C(=C2C1C4C5=C(C(=C(C=C5)OC)OC)C(=O)O4)OC)OCO3,Other
171,5417,69064,C1=CC=C2C(=C1)C(=CC=C2O)N=O,Other
172,5418,67115,CCN(CC)C1=CC=C(C=C1)N=O,Other
173,5425,94860,C1=CC=C2C(=C1)C3=C(C=C(C=C3)[N+](=O)[O-])C(=O)C2=O,Other
174,5485,221231,C1=CC2=C(C=CN=C2C=C1Cl)NCC(CNC3=C4C=CC(=CC4=NC=C3)Cl)O,Other
175,5491,25113351,CCN1C(=CC2=CC=[N+](C3=CC=CC=C23)CC)C=CC4=CC=CC=C41.[I-],Other
176,5551,6433478,C[N+]1=C(SC2=C1C3=CC=CC=C3C=C2)C=CC4=CC=C(C=C4)N(C)C.[I-],Other
177,5620,221258,C1=CC=C2C(=C1)NC(C(=O)S2)(CC(=O)O)CC(=O)O,Other
178,5639,407452,C1=CC=C(C=C1)C2=CC=CC=C2C(=O)C3=CC=CC=C3,Other
179,5648,11102,CCCCCCCCCCCCCCCC[N+](C)(C)CCN(CC1=CC=C(C=C1)OC)C2=NC=CC=N2.[Br-],Other
180,760359,11102,CCCCCCCCCCCCCCCC[N+](C)(C)CCN(CC1=CC=C(C=C1)OC)C2=NC=CC=N2.[Br-],Other
181,5703,221307,COC1=CC(=CC(=C1OC)OC)C2=NC=CC3=CC4=C(C=C32)OCO4,Other
182,5705,221309,COC1=CC(=CC(=C1OC)OC)C2=C(C=C(C3=CC4=C(C=C32)OCO4)O)C(=O)OC,Other
183,5816,701011,C1=CC=C(C=C1)C(=O)NC(=S)NC2=CC=C(C=C2)Cl,Other
184,5889,5646,CC1=C(C(=C2C(=C1O)C3(C(=CC(=O)C(C3=O)C(=O)C)O2)C)C(=O)C)O,Other
185,5890,5646,CC1=C(C(=C2C(=C1O)C3(C(=CC(=O)C(C3=O)C(=O)C)O2)C)C(=O)C)O,Other
186,5896,135436503,COC1=CC(=C2C(=C1)C=CC=N2)N=NC3=C4C=CC=NC4=C(C=C3)O.[Na+],Other
187,5907,16682406,CC(=O)O.COC1=CC2=C(C=CN=C2C=C1)C=CC3=C4C=C(C=CC4=NC=C3)OC,Other
188,5908,221375,COC1=CC2=C(C=C1)N(CCC2)C3=C4C=CC=CC4=NC5=CC=CC=C53,Other
189,5920,407487,CN(C)C1=CC=C(C=C1)CC2=CC(=C(C=C2N)N(C)C)N=NC3=C4C(=CC(=C3)OC)C=CC=N4,Other
190,6145,70875,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2C(=O)C3=CC=CC=C3,Other
191,6152,221502,CC1=CC2=C(C=C3C(=C2)C=CC(=C3O)O)C(=C1)O,Other
192,6171,2758,CC1(C2CCC(O1)(CC2)C)C,Other
193,6176,90454,C=CC1CN2CCC1CC2C(C3=CC=NC4=CC=CC=C34)O,Other
194,6266,8433,C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=CC=C2,Other
195,6278,94880,C1=CC=C2C(=C1)C=CC3=C2N=C(S3)N,Other
196,6386,23616896,CCN(CC)CC1=CC(=CC(=C1O)CC=C)C2=CC(=C(C(=C2)CN(CC)CC)O)CC=C.Cl,Other
197,6396,5453,C1CN1P(=S)(N2CC2)N3CC3,DNA
198,6477,899314,CCOC(=O)C=CC1=CC=C(O1)[N+](=O)[O-],Other
199,6777,221765,C1=CC2=C(C=C1Br)C3=C(N2)C(=CC(=C3)Br)[N+](=O)[O-],Other
200,6814,5281116,CCCCCCCCC=CCCCCCCCCCCCC(=O)O,Other
201,6883,221812,C1=CC(=CC(=C1)OC2=C(C=C(C=C2)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],Other
202,6891,221819,C1=CC(=CC=C1NC(=O)C2=CC(=C(C=C2)Cl)Cl)Br,Other
203,6926,221850,C1=CC=C(C=C1)NNC(=O)C(=O)NNC2=CC=CC=C2,Other
204,7215,66799,CC1=CC(=C(C=C1N)N)CC2=C(C=C(C(=C2)C)N)N,Other
205,7223,135422055,C1=CC=C2C(=C1)C=CC(=C2O)N=NC3=C4C=CC(=CC4=C(C=C3O)S(=O)(=O)O)[N+](=O)[O-].[Na+],Other
206,7233,222032,C1=CC2=C(C=C1Br)C(=O)C3=CC=C4C5=CC=C6C7=C(C=CC(=C57)C8=C4C3=C2C=C8)C9=C(C6=O)C=C(C=C9)Br,Other
207,7354,94902,C1=NC2=C(N1)C(=NC=N2)NN,Other
208,7359,191,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,Other
209,404241,191,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,Other
210,7364,24466,CC1=C(C(=NC(=N1)N)N)C2=CC(=C(C=C2)Cl)Cl,Other
211,7365,164,C(CC(=O)C=[N+]=[N-])C(C(=O)O)N,Other
212,7376,1550966,COC1=C(C=CC(=C1)C=C[N+](=O)[O-])O,Other
213,7389,6763,C1=CC=C2C(=C1)C3=CC=CC=C3C(=O)C2=O,Other
214,7390,1550967,COC1=C(C=C(C=C1)C=C[N+](=O)[O-])OC,Other
215,7420,222105,C1CCC(CC1)C2=C(C(=CC(=C2)Br)C(=O)N)O,Other
216,7436,222114,CC(C)(C)C1=CC=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)N,Other
217,7519,457798,COC1CC2C3(CCN2CC4=C(C5=C(C=C43)OCO5)OC)C=C1.OCl(=O)(=O)=O,Other
218,7529,3061,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CCC7(C6(CCC7C8=CC(=O)OC8)O)C)C)C)C)O)O,Other
219,7532,407582,CC1C(C(CC(O1)OC2CCC3(C(C2)CCC4C3CCC5(C4(CCC5C6=CC(=O)OC6)O)C)C)O)OC7CC(C(C(O7)C)OC8CC(C(C(O8)C)OC9C(C(C(C(O9)CO)O)O)O)OC(=O)C)O,Other
220,7606,204,C1(C(=O)NC(=O)N1)NC(=O)N,Other
221,7757,5354364,CC1(C2CCC1(C(C2)OC(=O)C=CC3=CC=CC=C3)C)C,Other
